artículo,pregunta 1,pregunta 2,pregunta 3,pregunta 4,pregunta 5,pregunta 6,pregunta 7,pregunta 8,pregunta 9,pregunta 10,pregunta 11,pregunta 12,pregunta 13,pregunta 14,pregunta 15,pregunta 16,pregunta 17
ARTÍCULO 1.,¿Qué tipo de institución es la Universidad de Antioquia?,¿Cuál es la función social de la Universidad de Antioquia?,¿Qué tipo de formación ofrece la Universidad de Antioquia a sus estudiantes?,¿Cuál es uno de los objetivos de la Universidad de Antioquia en cuanto a la preparación de sus estudiantes?,¿Qué ámbitos cubre la formación profesional que imparte la Universidad de Antioquia?,¿Qué papel cumple la Universidad de Antioquia dentro de la sociedad?,¿A quiénes está dirigida la formación integral de la Universidad de Antioquia?,"¿Qué ofrece la Universidad de Antioquia, además de la formación profesional?",¿Qué finalidad tiene la formación que brinda la Universidad de Antioquia?,¿Qué asegura el reglamento de la Universidad de Antioquia en cuanto a su rol educativo?,,,,,,,
ARTÍCULO 2.,¿Cuál es la función esencial de la Universidad de Antioquia?,¿Qué papel cumplen las demás funciones de la universidad frente a su función esencial?,¿Qué actitud busca desarrollar la Universidad en sus estudiantes?,¿Qué permite la actitud científica y crítica en los estudiantes?,¿Qué habilidades busca desarrollar la Universidad en sus estudiantes?,¿Qué hará la Universidad para facilitar el acceso de los estudiantes al aprendizaje?,¿Qué enseñará la Universidad a los estudiantes sobre el uso de la información?,¿Cuáles son los campos en los que la Universidad cumple su función docente-investigativa?,¿Por qué debe la Universidad desarrollar habilidades de aprendizaje en sus estudiantes?,¿De qué manera ayuda la Universidad al estudiante en el proceso de aprendizaje?,,,,,,,
ARTÍCULO 3.,¿A qué está encaminada la función docente-investigativa de la Universidad?,¿Cuál es el propósito fundamental de la función docente-investigativa?,¿En qué campos se enfoca la creatividad promovida por la Universidad?,¿Qué tipo de estudio fomenta la Universidad de Antioquia en su función docente-investigativa?,¿Para qué se promueve el estudio crítico y responsable en la Universidad?,¿Qué relación tiene la función docente-investigativa con los problemas del país?,¿Qué papel juega la creatividad en la función docente-investigativa de la Universidad?,¿Qué busca desarrollar la Universidad en sus estudiantes a través de la función docente-investigativa?,¿Cómo contribuye la función docente-investigativa al desarrollo social?,¿Por qué es importante el estudio crítico y responsable en la Universidad?,,,,,,,
ARTÍCULO 4.,¿Qué es el proceso de enseñanza-aprendizaje en la Universidad de Antioquia?,¿Cuál es el propósito del proceso de enseñanza-aprendizaje en la Universidad?,¿Qué elementos intervienen en el proceso de enseñanza-aprendizaje?,¿Qué busca lograr la Universidad a través del proceso de enseñanza-aprendizaje?,¿Por qué es importante la interrelación de profesores y estudiantes en el proceso de enseñanza-aprendizaje?,¿Qué papel juegan los medios instrumentales en el proceso de enseñanza-aprendizaje?,¿Qué significa el cambio de conducta que todo aprendizaje significa?,¿Qué se espera que logre el educando a través del proceso de enseñanza-aprendizaje?,¿Qué importancia tiene el aprovechamiento de aptitudes y actitudes en el proceso de enseñanza-aprendizaje?,¿Cómo contribuye el proceso de enseñanza-aprendizaje al cumplimiento de la misión de la Universidad?,,,,,,,
ARTÍCULO 5.,¿Qué criterios deben regir el proceso de formación en la Universidad de Antioquia?,¿Qué ambiente debe prevalecer en el proceso de formación en la Universidad?,¿Qué actitud debe cultivarse en el proceso de formación en la Universidad?,¿Por qué es importante el respeto por la función humana y social de la educación superior?,¿Qué papel juega la sana crítica en el proceso de formación en la Universidad?,¿Qué valores deben promoverse en el proceso de formación en la Universidad?,¿Por qué es importante la libertad de cátedra en el proceso de formación en la Universidad?,¿Qué beneficios aporta la libertad de aprendizaje en el proceso de formación en la Universidad?,"¿Cómo contribuye la sana crítica al desarrollo de la ciencia, la cultura y el arte en la Universidad?",,,,,,,,
ARTÍCULO 6.,¿Qué es la libertad de cátedra en la Universidad de Antioquia?,¿Qué permite la libertad de cátedra al docente?,¿Qué permite la libertad de cátedra al estudiante?,¿Por qué es importante la libertad de cátedra en la Universidad?,¿Qué papel juega la libertad de cátedra en el proceso de formación en la Universidad?,¿Qué beneficios aporta la libertad de cátedra al proceso de enseñanza-aprendizaje?,¿Qué significa estar ceñido a los métodos científicos en la libertad de cátedra?,¿Por qué es importante la libertad de cátedra para el desarrollo de la ciencia y la cultura?,¿Qué relación tiene la libertad de cátedra con la formación de los estudiantes?,¿Cómo contribuye la libertad de cátedra al desarrollo de la ciencia y la cultura en la Universidad?,,,,,,,
ARTÍCULO 7.,¿Qué es la libertad de aprendizaje en la Universidad de Antioquia?,¿Qué permite la libertad de aprendizaje al estudiante?,¿Por qué es importante la libertad de aprendizaje en la Universidad?,¿Qué papel juega la libertad de aprendizaje en el proceso de formación en la Universidad?,¿Qué beneficios aporta la libertad de aprendizaje al proceso de enseñanza-aprendizaje?,¿Qué significa utilizar la información en el incremento y profundización de los conocimientos?,¿Por qué es importante la libertad de aprendizaje para el desarrollo de habilidades en los estudiantes?,¿Cómo contribuye la libertad de aprendizaje al desarrollo de la ciencia y la cultura en la Universidad?,¿Qué relación tiene la libertad de aprendizaje con la formación integral de los estudiantes?,,,,,,,,
ARTÍCULO 8.,¿Qué significa la autonomía de la Universidad de Antioquia?,¿Cuáles son los límites de la autonomía de la Universidad?,¿Por qué es importante la autonomía de la Universidad?,¿Qué permite la autonomía de la Universidad en el desarrollo de sus programas académicos?,¿Qué implica la autonomía de la Universidad en la designación de su personal?,¿Qué significa la autonomía de la Universidad en la admisión de sus alumnos?,¿Por qué es importante la autonomía de la Universidad en la disposición de sus recursos?,¿Qué implica la autonomía de la Universidad en su organización y gobierno?,"¿Qué significa el ejercicio libre y responsable de la crítica, la cátedra, el aprendizaje, la investigación y la controversia ideológica y política?","¿Por qué es importante el ejercicio libre y responsable de la crítica, la cátedra, el aprendizaje, la investigación y la controversia ideológica y política en la Universidad?",,,,,,,
ARTÍCULO 9.,¿Qué facultad tiene la Universidad de Antioquia en relación con su organización e identidad institucional?,¿Quién es responsable de preservar la organización e identidad institucional de la Universidad?,¿Qué significa preservar la organización e identidad institucional de la Universidad?,¿Por qué es importante preservar la organización e identidad institucional de la Universidad?,¿Qué papel juega la comunidad universitaria en la preservación de la organización e identidad institucional de la Universidad?,¿Cómo contribuye la preservación de la organización e identidad institucional al desarrollo y crecimiento de la Universidad?,¿Qué implica la preservación de la identidad institucional de la Universidad?,¿Por qué es importante la autonomía de la Universidad para preservar su organización e identidad institucional?,¿Qué relación tiene la preservación de la organización e identidad institucional con la calidad educativa de la Universidad?,,,,,,,,
ARTÍCULO 10.,¿Qué promoverá la Universidad de Antioquia como institución de educación superior?,¿Por qué es importante promover el conocimiento y la reafirmación de los valores de la nacionalidad?,¿Qué beneficios aporta la expansión de las áreas de creación y goce de la cultura?,"¿Por qué es importante la incorporación integral a los beneficios del desarrollo artístico, científico y tecnológico?",¿Qué implica la protección y el aprovechamiento de los recursos naturales en la Universidad?,¿Cómo contribuye la promoción de los valores de la nacionalidad al desarrollo de la identidad cultural en la Universidad?,¿Qué relación tiene la expansión de las áreas de creación y goce de la cultura con la diversidad y la creatividad en la Universidad?,"¿Por qué es importante la incorporación integral a los beneficios del desarrollo artístico, científico y tecnológico en la Universidad?",,,,,,,,,
