Article,Mean Accuracy@1,Mean Accuracy@5,Mean Accuracy@10
ARTÍCULO 1.,0.6,0.8,1.0
ARTÍCULO 2.,0.1,0.4,0.6
ARTÍCULO 3.,0.6,0.7,0.7
ARTÍCULO 4.,0.6,0.9,1.0
ARTÍCULO 5.,0.3333333333333333,0.4444444444444444,0.7777777777777778
ARTÍCULO 6.,0.7,0.9,1.0
ARTÍCULO 7.,0.7777777777777778,0.8888888888888888,0.8888888888888888
ARTÍCULO 8.,0.8,0.9,0.9
ARTÍCULO 9.,0.3333333333333333,1.0,1.0
ARTÍCULO 10.,0.625,0.875,1.0
ARTÍCULO 11.,0.2,0.5,0.6
ARTÍCULO 12.,0.875,0.875,1.0
ARTÍCULO 13.,0.3333333333333333,0.4444444444444444,0.4444444444444444
ARTÍCULO 14.,0.5,0.7,0.9
ARTÍCULO 15.,0.8,0.8,0.8
ARTÍCULO 16.,0.1,0.1,0.3
ARTÍCULO 17.,0.1,0.5,0.6
ARTÍCULO 18.,0.5,0.6,0.7
ARTÍCULO 19.,0.2,0.2,0.2
ARTÍCULO 20.,0.6,0.6,0.8
ARTÍCULO 21.,0.0,0.0,0.0
ARTÍCULO 22.,0.0,0.0,0.3
ARTÍCULO 23.,0.1,0.3,0.4
ARTÍCULO 24.,0.0,0.0,0.2222222222222222
ARTÍCULO 25.,0.3,0.7,0.7
ARTÍCULO 26.,0.1,0.2,0.3
ARTÍCULO 27.,0.5555555555555556,0.5555555555555556,0.5555555555555556
ARTÍCULO 28.,0.3,0.4,0.6
ARTÍCULO 29.,0.9,1.0,1.0
ARTÍCULO 30.,0.7777777777777778,0.7777777777777778,0.7777777777777778
ARTÍCULO 31.,0.2,0.2,0.2
ARTÍCULO 32.,1.0,1.0,1.0
ARTÍCULO 33.,0.4444444444444444,0.4444444444444444,0.4444444444444444
ARTÍCULO 34.,0.4,0.5,0.5
ARTÍCULO 35.,1.0,1.0,1.0
ARTÍCULO 36.,1.0,1.0,1.0
ARTÍCULO 37.,0.6,0.7,0.7
ARTÍCULO 38.,0.2,0.3,0.3
ARTÍCULO 39.,0.1,0.1,0.1
ARTÍCULO 40.,0.1,0.2,0.2
ARTÍCULO 41.,0.0,0.1,0.3
ARTÍCULO 42.,0.0,0.0,0.0
ARTÍCULO 43.,0.0,0.0,0.0
ARTÍCULO 44.,1.0,1.0,1.0
ARTÍCULO 45.,0.2,0.2,0.3
ARTÍCULO 46.,0.8,0.9,0.9
ARTÍCULO 47.,0.5,0.7,0.8
ARTÍCULO 48.,0.0,0.0,0.125
ARTÍCULO 49.,0.6,0.8,0.9
ARTÍCULO 50.,0.8,0.8,0.8
ARTÍCULO 51.,0.0,0.4,0.9
ARTÍCULO 52.,0.3,0.5,0.6
ARTÍCULO 53.,0.0,0.0,0.1
ARTÍCULO 54.,0.2,0.6,0.8
ARTÍCULO 55.,0.2222222222222222,0.3333333333333333,0.4444444444444444
ARTÍCULO 56.,0.6666666666666666,0.7777777777777778,0.7777777777777778
ARTÍCULO 57.,0.0,0.0,0.2222222222222222
ARTÍCULO 58.,1.0,1.0,1.0
ARTÍCULO 59.,0.5555555555555556,0.5555555555555556,0.7777777777777778
ARTÍCULO 60.,0.1111111111111111,0.3333333333333333,0.3333333333333333
ARTÍCULO 61.,0.0,0.06666666666666667,0.06666666666666667
ARTÍCULO 62.,0.08333333333333333,0.4166666666666667,0.6666666666666666
ARTÍCULO 63.,0.45454545454545453,0.7272727272727273,0.9090909090909091
ARTÍCULO 64.,0.0,0.0,0.0625
ARTÍCULO 65.,0.0,0.0,0.18181818181818182
ARTÍCULO 66.,0.0,0.11764705882352941,0.4117647058823529
